question_id,document_id,question_type,question,recall_at_3,answer_correctness,generated_answer,retrieved_chunk_1,retrieved_chunk_2,retrieved_chunk_3
1,0,single_passage,What is the capital and largest city of Mozambique?,1.0,1.0,Maputo,"0:000:00 / 0:00/ 0:00 Capital and largest city Maputo 25°57′S 32°35′E Official languages Portuguese Recognised regional languages Tsonga, Makhuwa, Sena, Lomwe, Swahili Ethnic groups (2017)[1] 99.0% African[a] 0.8% Mestiço 0.1% White 0.1% other[b] Religion (2017)[2] 19.1% Islam 13.5% no religion 4.3% other religions[c] 1.2% unknown Demonym Mozambican Government Unitary dominant-party semi-presidential republic[3][4][5] under an authoritarian government[6][7] • President Daniel Chapo • Prime","Mozambique Channel to the east. The capital and largest city is Maputo. Between the 7th and 11th centuries, a series of Swahili port towns developed in the area, which contributed to the development of a distinct Swahili culture and dialect. In the late medieval period, these towns were frequented by traders from Somalia, Ethiopia, Egypt, Arabia, Persia, and India.[12] The voyage of Vasco da Gama in 1498 marked the arrival of the Portuguese, who began a gradual process of colonisation and","regions from the southern capital and where Islam is the dominant faith. Mozambique is endowed with rich and extensive natural resources. The country's economy is based chiefly on fishery—mostly molluscs, crustaceans and echinoderms—and agriculture with a growing industry of food and beverages, chemical manufacturing, aluminium and oil. The tourism sector is expanding. Mozambique's GDP grew significantly after 2001, but since 2014/15, both a significant decrease in household real consumption"
2,0,single_passage,What is the most popular sport in Mozambique?,1.0,1.0,Football (soccer) is the most popular sport in Mozambique.,"football team. Track and field and basketball are also avidly followed in the country.[151] Roller hockey is popular, and the best result for the national team was when they came in fourth at the 2011 FIRS Roller Hockey World Cup. The women's beach volleyball team finished 2nd at the 2018–2020 CAVB Beach Volleyball Continental Cup.[152] The Mozambique national cricket team represents the nation in international cricket. Outline of Mozambique List of Mozambique-related topics a. Includes Makhuwa,",proclamation in 1975 (from Portugal) 7 September Victory Day In tribute to the Lusaka Accord signed in 1974 25 September National Liberation Armed Forces Day In tribute to the start of the armed fight for national liberation 4 October Peace and Reconciliation In tribute to the General Peace Agreement signed in Rome in 1992 25 December Family Day Christians also celebrate Christmas Football (Portuguese: futebol) is the most popular sport in Mozambique. The national team is the Mozambique national,"spoken in urban areas as a first or second language by most, and generally as a lingua franca between younger Mozambicans with access to formal education. The most important local languages include Tsonga, Makhuwa, Sena, Chichewa, and Swahili. Glottolog lists 46 languages spoken in the country,[16] of which one is a signed language (Mozambican Sign Language/Língua de sinais de Moçambique). The most popular religion in Mozambique is Christianity, with significant minorities following Islam and"
3,1,single_passage,What are the two regions whose union formed the United Republic of Tanzania in 1964?,0.0,1.0,Tanganyika and Zanzibar.,"United Republic of Tanganyika and Zanzibar.[65][66] On 29 October of the same year, the country was renamed the United Republic of Tanzania (""Tan"" comes from Tanganyika and ""Zan"" from Zanzibar).[17] The union of the two hitherto separate regions was controversial among many Zanzibaris (even those sympathetic to the revolution) but was accepted by both the Nyerere government and the Revolutionary Government of Zanzibar owing to shared political values and goals.[67] Following Tanganyika's","United Nations, Group of 77, African Union, East African Community, and the Non-Aligned Movement. The name ""Tanzania"" was created as a clipped compound of the names of the two states that unified to create the country: Tanganyika and Zanzibar in 1964.[30] When Zanzibar and Tanganyika were uniting, national newspaper The Standard ran a contest for a new name, which was won by Mohammed Iqbal Dar. Iqbal claimed that he formulated the name by taking ""Tan"" and ""zan"" from the uniting states, ""i"" from","as German East Africa. This was followed by British rule after World War I when it was governed as Tanganyika, with the Zanzibar Archipelago remaining a separate colonial jurisdiction. Following their gaining respective independence in 1961 and 1963, the two entities merged in 1964 to form the United Republic of Tanzania.[17] Tanganyika joined the British Commonwealth, and Tanzania remains a Commonwealth country as a unified republic.[18] Today, the country is a presidential constitutional"
4,1,single_passage,What is Tanzania's national animal?,1.0,1.0,The Masai giraffe.,"reptile species, many of them strictly Climate Wildlife and conservation The Masai giraffe is Tanzania's national animal. endemic and included in the International Union for Conservation of Nature's Red Lists of countries.[101] Tanzania has the largest lion population in the world.[102] Tanzania had a 2019 Forest Landscape Integrity Index mean score of 7.13/10, ranking it 54th globally out of 172 countries.[103] Tanzania is a one-party dominant state with the Chama Cha Mapinduzi (CCM) party in","social, economic and physical environment.[94] Tanzania contains around 20% of the species of Africa's enormous warm-blooded animal populace, found over its 21 National parks, reserves, 1 conservation area, and 3 marine parks. Spread over a zone of in excess of 42,000 square kilometres (16,000 square mi) and shaping around 38% of the nation's area.[95] Tanzania has 21 national parks,[96] plus a variety of game and forest reserves, including the Ngorongoro Conservation Area, however the local","Park, Lake Manyara National Park, and Mount Kilimanjaro.[87]: page 1252 In 2013, the most visited national park was Serengeti (452,485 tourists), followed by Manyara (187,773) and Tarangire (165,949).[62]: page xx Tourism One of the main trunk roads Zanzibar harbour The Bank of Tanzania is the central bank of Tanzania and is primarily responsible for maintaining price stability, with a subsidiary responsibility for issuing the banknotes and coins of the Tanzanian shilling.[207] At the end of"
5,2,single_passage,What are the three capitals of South Africa and their respective roles?,1.0,1.0,"South Africa’s three capitals are:

- **Pretoria** – the **administrative/executive capital**, where the president and Cabinet are based.
- **Cape Town** – the **legislative capital**, where Parliament sits.
- **Bloemfontein** – the **judicial capital**, traditionally the seat of the Supreme Court of Appeal. The Constitutional Court, South Africa’s highest court, is located in Johannesburg.","2. ""South Africa's Three Capital Cities"" (https://www.gov.za/about-sa/south-africas-three-capital -cities). Government of South Africa. Retrieved 19 July 2025. 3. ""South Africa at a glance"" (https://www.gov.za/about-sa/south-africa-glance). Government of South Africa. Archived (https://web.archive.org/web/20200526163527/https://www.gov.za/ab out-sa/south-africa-glance) from the original on 26 May 2020. Retrieved 18 June 2020. See also Notes References 4. ""Principal Agglomerations of the World""","country's three branches of government are split over different cities. Cape Town, as the seat of Parliament, is the legislative capital; Pretoria, as the seat of the president and cabinet, is the administrative capital; and Bloemfontein is the seat of the Supreme Court of Appeal, and is regarded as the judicial capital;[20] although the highest court, the Constitutional Court of South Africa has been based in Johannesburg since 1994. Most foreign embassies are located in Pretoria. Since 2004,","amalgamation of the Cape, Natal, Transvaal, and Orange River colonies, 0:000:00 / 0:00/ 0:00 Capital Pretoria (executive)[a][3] Cape Town (legislative)[b][3] Bloemfontein (judicial)[c][3] Largest city Johannesburg[4] Official languages 12 languages[5][6] Afrikaans English Ndebele Sepedi Sesotho Setswana South African Sign Language Swazi Tshivenda Xhosa Xitsonga Zulu Languages with special status[5] becoming a republic after the 1961 referendum. The multi-racial Cape Qualified Franchise in the"
6,2,single_passage,How many provinces does South Africa have?,0.0,1.0,South Africa has **nine provinces**.,"the country's liberal democracy, which comprises a parliamentary republic and nine provinces. Recognised as a middle power in international affairs, South Africa maintains significant regional influence and is a member of BRICS+, the African Union (hosting the seat of the Pan-African Parliament), SADC, SACU, the Commonwealth of Nations, and the G20.[24][25] A developing and newly industrialised country, it has the largest economy in Africa by nominal GDP,[26][27] is tied with Ethiopia for the","little or no population 9 Bloemfontein Free State 759,693 10 Pietermaritzburg KwaZulu-Natal 679,766 South Africa has 12 official languages:[6] Afrikaans, Zulu, Xhosa, English, Pedi,[316] Tswana, Southern Sotho, Tsonga, Swazi, Venda, and Southern Ndebele (in order of first language speakers), as well as South African Sign Language, which was recognised as an official language in 2023.[6] In this regard, it is fourth only to Bolivia, India, and Zimbabwe in number. While all the languages are","Ramaphosa subsequently formed the Government of National Unity with, amongst others, the Democratic Alliance.[121] South Africa is in southern Africa, with a coastline that stretches more than 2,500 km (1,553 mi) and along two oceans—the South Atlantic and the Indian Ocean. At 1,219,912 km2 (471,011 sq mi) in area,[122] South Africa is the 24th-largest country in the world.[123] Excluding the Prince Edward Islands, the country lies between latitudes 22° and 35°S, and longitudes 16° and 33°E. The"
7,3,single_passage,When did Eswatini regain full independence?,0.0,1.0,Eswatini regained full independence from the United Kingdom on **6 September 1968**.,"on 6 September 1968.[17] In April 2018, the king changed the official name from Kingdom of Swaziland to Kingdom of Eswatini, the name commonly used in the Swazi language.[14][18][19] Eswatini is a developing country that is classified as having a lower-middle income economy. As a member of the Southern African Customs Union and the Common Market for Eastern and Southern Africa, its main local trading partner is South Africa; to ensure economic stability, Eswatini's currency, the lilangeni, is","as the Kingdom of Eswatini, reflecting the extant Swazi name for the state eSwatini, to mark the 50th anniversary of Swazi independence. The name Eswatini means ""land of the Swazis"" in the Swazi language and was partially intended to prevent confusion with the similarly named Switzerland.[13][14] Eswatini workers began anti-government protests against low salaries in September 2018. They went on a three-day strike organised by the Trade Union Congress of Eswatini that resulted in widespread","is provided by its agricultural and manufacturing sectors. Eswatini is a member of the Southern African Development Community, the African Union, the Commonwealth of Nations, and the United Nations. Eswatini's government is an absolute monarchy, the last of its kind in Africa.[22] The country has been ruled by King Mswati III since 1986.[23][24] Elections are held every five years to determine the House of Assembly and the Senate majority, but political parties are prohibited from running.[25]"
8,3,single_passage,What are Eswatini's two official languages?,1.0,1.0,Swazi (SiSwati) and English.,"South Africa. It has 2.5 million speakers and is taught in schools. It is an official language of Eswatini, along with English,[124] and one of the official languages of South Africa. English is the medium of communication in schools, conducting business, and the press.[125] About 76,000 people in the country speak Zulu.[126] Tsonga, which is spoken by many people throughout the region is spoken by about 19,000 people in Eswatini. Afrikaans is also spoken by some residents of Afrikaner descent.","urban formal economy and in government. Some Swazi work in the mines in South Africa.[121] Eswatini also received Portuguese settlers and African refugees from Mozambique. Christianity in Eswatini is sometimes Demographics Largest cities mixed with traditional beliefs and practices. Many traditionalists believe that most Swazi ascribe a special spiritual role to the monarch.[122] SiSwati[123] (also known as Swati, Swazi or Siswati) is a Bantu language of the Nguni group, spoken in Eswatini and",pegged to the South African rand. Eswatini's major overseas trading partners are the United States[20] and 0:000:00 / 0:00/ 0:00 Capital Mbabane (executive) Lobamba (legislative) 26°30′S 31°30′E Largest city Mbabane Official languages Swazi · English Ethnic groups (2017) 97% Emaswati 3% others Religion (2017) 7.4% no religion 2.5% traditional faiths 0.8% others[1][2] Demonym Swazi[a] Government Unitary diarchic[3] absolute monarchy the European Union.[21] The majority of the country's employment
9,4,single_passage,What is the capital and largest city of Lesotho?,1.0,1.0,Maseru,"ⓘ lih-SOO-too;[6][7] Sotho pronunciation: [lɪˈsʊːtʰʊ]),[a] officially the Kingdom of Lesotho[b], is a landlocked country in Southern Africa. Surrounded by South Africa, it is the largest of the three sovereign enclaves. Lesotho is located in the Maloti Mountains, with the highest peak in southern Africa.[9] It has an area of over 30,000 km2 (11,600 mi2), with a population of about 2.3 million. Its capital and largest city is Maseru. Lesotho was formed in 1824 by King Moshoeshoe I. Continuous","Kingdom of Lesotho Naha ea Lesotho (Sotho) Flag Coat of arms Motto: ""Khotso, Pula, Nala"" ""Peace, Rain, Prosperity"" Anthem: Lesotho fatše la bo-ntat'a rona (English: ""Lesotho, Land of Our Fathers"") Capital and largest city Maseru 29°18′54″S 27°29′13″E Official languages Sesotho · English Ethnic groups (2020) 99.7% Basotho 0.3% others Religion (2020)[1] 92.1% Christianity 6.6% traditional faiths 1.0% no religion 0.3% others Demonyms Mosotho (singular) Basotho (plural) Lesotho Lesotho (/lɪˈsuːtuː/","Africa also encloses Lesotho.[19] Covering an area of 1,221,037 square kilometres (471,445 square miles), the country has a population of over 63 million people, making it the sixth-most populated country in Africa, and 24th-most in the world. Pretoria is the administrative capital, while Cape Town, as the seat of Parliament, is the legislative capital, and Bloemfontein is regarded as the judicial capital.[20] The largest and most populous city is Johannesburg, followed by Cape Town and"
10,4,single_passage,What is Lesotho's official currency?,1.0,1.0,"Lesotho’s official currency is the **loti** (plural: **maloti**). It is pegged at par with the **South African rand**, which is also accepted.","Africa contributed to Lesotho's GDP growth slowing to 0.9% in 2009.[65] Lesotho was ranked 132nd in the Global Innovation Index in 2025.[77][78] The official currency is the loti (plural: maloti) which can be used interchangeably with the South African rand. The loti is at par with the rand. Lesotho, Eswatini, Namibia, and South Africa form a common currency and exchange control area known as the Common Monetary Area (CMA). The second Trump administration (since 20 January 2025) imposed tariffs","Kingdom of Lesotho Naha ea Lesotho (Sotho) Flag Coat of arms Motto: ""Khotso, Pula, Nala"" ""Peace, Rain, Prosperity"" Anthem: Lesotho fatše la bo-ntat'a rona (English: ""Lesotho, Land of Our Fathers"") Capital and largest city Maseru 29°18′54″S 27°29′13″E Official languages Sesotho · English Ethnic groups (2020) 99.7% Basotho 0.3% others Religion (2020)[1] 92.1% Christianity 6.6% traditional faiths 1.0% no religion 0.3% others Demonyms Mosotho (singular) Basotho (plural) Lesotho Lesotho (/lɪˈsuːtuː/","ⓘ lih-SOO-too;[6][7] Sotho pronunciation: [lɪˈsʊːtʰʊ]),[a] officially the Kingdom of Lesotho[b], is a landlocked country in Southern Africa. Surrounded by South Africa, it is the largest of the three sovereign enclaves. Lesotho is located in the Maloti Mountains, with the highest peak in southern Africa.[9] It has an area of over 30,000 km2 (11,600 mi2), with a population of about 2.3 million. Its capital and largest city is Maseru. Lesotho was formed in 1824 by King Moshoeshoe I. Continuous"
