question_id,document_id,title,source_url,question_type,question,reference_answer,supporting_text_1,supporting_text_2,verification_status
21,0,Mozambique,https://en.wikipedia.org/wiki/Mozambique,multi_passage,How did Portuguese arrival and the post-independence civil war shape Mozambique's modern history?,"The Portuguese arrived in 1498 and began colonisation and settlement in 1505; after independence in 1975, Mozambique entered a civil war that lasted from 1977 to 1992.","In the late medieval period, these towns were frequented by traders from Somalia, Ethiopia, Egypt, Arabia, Persia, and India.[12] The voyage of Vasco da Gama in 1498 marked the arrival of the Portuguese, who began a gradual process of colonisation and settlement in 1505.","After only two years of independence, the country descended into an intense and protracted civil war lasting from 1977 to 1992.",verified
22,1,Tanzania,https://en.wikipedia.org/wiki/Tanzania,multi_passage,"How did Tanganyika and Zanzibar become Tanzania, and what does the article say about Tanzania's linguistic diversity?","Zanzibar and mainland Tanganyika merged on 26 April 1964, and the new country was later renamed the United Republic of Tanzania. The article says that over 100 languages are spoken in Tanzania, making it the most linguistically diverse country in East Africa.","Elizabeth II, who had acceded to the British throne in 1952, continued to reign through the first year of Tanganyika's independence, but now distinctly as Queen of Tanganyika, represented by the governor general.[62]: 6 Tanganyika also joined the British Commonwealth in 1961.[18] On 9 December 1962, Tanganyika became a democratic republic under an executive president.[62]: 6 After the Zanzibar Revolution overthrew the Arab dynasty in neighbouring Zanzibar, accompanied with the slaughter of thousands of Arab Zanzibaris,[63] which had become independent in 1963, the archipelago merged with mainland Tanganyika on 26 April 1964.[64] The new country was then named the United Republic of Tanganyika and Zanzibar.[65][66] On 29 October of the same year, the country was renamed the United Republic of Tanzania (""Tan"" comes from Tanganyika and ""Zan"" from Zanzibar).[17] The union of the two hitherto separate regions was controversial among many Zanzibaris (even those sympathetic to the revolution) but was accepted by both the Nyerere government and the Revolutionary Government of Zanzibar owing to shared political values and goals.[67] Following Tanganyika's independence and unification with Zanzibar leading to the state of Tanzania, President Nyerere emphasised a need to construct a national identity for the citizens of the new country.","Christianity is the largest religion in Tanzania, with substantial Muslim and Animist minorities.[25] Over 100 languages are spoken in Tanzania, making it the most linguistically diverse country in East Africa.[26] The country does not have a de jure official language,[2] although the 0:000:00 / 0:00/ 0:00 Largest city Dar es Salaam 06°48′S 39°16′E Official languages Swahili · English[a] National language Swahili[4] Other languages Over 100 languages, including (1m+): Shambala · Sukuma · Nyamwezi · Chagga ·Ha · Bena · Gogo · Ha ya · Dholuo · Iraqw · M akonde · Nyaturu · Ma asai · Jita · Pare Religion (2022)[5] Demonym Tanzanian Government Unitary dominant-party presidential republic • President Samia Suluhu Hassan • Vice-President Deogratius Ndejembi • Prime Minister Mwigulu Nchemba • Speaker Mussa Zungu • Chief Justice George MchecheMasaju Legislature National Assembly Independence from the United Kingdom • Tanganyika 9 December 1961 • Zanzibar 10 December 1963 • Unification of Tanganyika and Zanzibar 26 April 1964 • Current constitution 25 April 1977 Area • Total 947,303 km2 (365,756 sq mi) (30th) • Water (%) 6.4[6] Population • 2024 estimate 67,462,121[7] (22nd) • 2022 census 61,741,120[8] • Density 65.2/km2 (168.9/sq mi) (147th) GDP (PPP) 2025 estimate • Total $293.59 billion[9] (69th) • Per capita $4,370[9] (158th) GDP (nominal) 2025 estimate • Total $88.980 billion[9] (80th) • Per capita $1,280[9] (162nd) national language is Swahili.[4] English is used in foreign trade, in diplomacy, in higher courts, and as a medium of instruction in secondary and higher education.[26][27] Arabic is widely spoken in Zanzibar, reflecting its history as a trading center dominated by Arabs.",verified
23,2,South Africa,https://en.wikipedia.org/wiki/South_Africa,multi_passage,How did apartheid and the 1994 elections affect political representation in South Africa?,"The National Party imposed apartheid in 1948, institutionalising earlier racial segregation. Universal elections took place in 1994, after which all racial groups held political representation in the country's liberal democracy.","The multi-racial Cape Qualified Franchise in the Cape was gradually eroded, and the vast majority of Black South Africans were not enfranchised until 1994.[23] The National Party imposed apartheid in 1948, institutionalising previous racial segregation.","Universal elections took place in 1994, following which all racial groups have held political representation in the country's liberal democracy, which comprises a parliamentary republic and nine provinces.",verified
24,3,Eswatini,https://en.wikipedia.org/wiki/Eswatini,multi_passage,What does the article say about Eswatini's political system and the sectors providing most employment?,"Eswatini is an absolute monarchy, and the majority of employment is provided by the agricultural and manufacturing sectors.","Eswatini's government is an absolute monarchy, the last of its kind in Africa.[22] The country has been ruled by King Mswati III since 1986.[23][24] Elections are held every five years to determine the House of Assembly and the Senate majority, but political parties are prohibited from running.[25] Eswatini's constitution was adopted in 2005.",Eswatini's major overseas trading partners are the United States[20] and 0:000:00 / 0:00/ 0:00 Capital Mbabane (executive) Lobamba (legislative) 26°30′S 31°30′E Largest city Mbabane Official languages Swazi · English Ethnic groups (2017) 97% Emaswati 3% others Religion (2017) 7.4% no religion 2.5% traditional faiths 0.8% others[1][2] Demonym Swazi[a] Government Unitary diarchic[3] absolute monarchy the European Union.[21] The majority of the country's employment is provided by its agricultural and manufacturing sectors.,verified
25,4,Lesotho,https://en.wikipedia.org/wiki/Lesotho,multi_passage,How are Lesotho's high elevation and rainfall pattern described in the article?,"Lesotho is the only independent state in the world that lies entirely above 1,000 metres in elevation, and most of its rain falls as summer thunderstorms.","It is the only independent state in the world that lies entirely above 1,000 metres (3,281 ft) in elevation.",Most of the rain falls as summer thunderstorms.,verified
26,5,Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,multi_passage,How does the article connect Great Zimbabwe's early history with the later establishment of Rhodesia?,"The Shona constructed Great Zimbabwe beginning in the 11th century, and it became a major African trade centre by the 13th century. In 1965, the white minority government unilaterally declared independence as Rhodesia.","Beginning in the 11th century the Shona people constructed the city of Great Zimbabwe, which became one of the major African trade centres by the 13th century.[17] From there, the Kingdom of Zimbabwe was established, followed by the Mutapa and Rozvi empires.","In 1965, the white minority government unilaterally declared independence as Rhodesia.",verified
27,6,Malawi,https://en.wikipedia.org/wiki/Malawi,multi_passage,How did Malawi's political system and economy develop in the periods described in the article?,"Hastings Banda converted Malawi into a one-party presidential republic in 1966, while the economy is heavily based on agriculture and the country has a largely rural population.","Two years later, Banda became president by converting the country into a one-party presidential republic.","Its economy is heavily based on agriculture, and it has a largely rural and growing population.",verified
28,7,Kenya,https://en.wikipedia.org/wiki/Kenya,multi_passage,How do Kenya's two main education examinations described in the article affect students' progression?,"The KCPE determines which pupils proceed to secondary school or vocational training, while the KCSE determines which secondary-school graduates proceed to universities, other professional training, or employment.","At the end of primary education, pupils sit the Kenya Certificate of Primary Education (KCPE), which determines those who proceed to secondary school or vocational training.","For those who proceed to the secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines those proceeding to the universities, other professional training, or employment.",verified
29,8,Botswana,https://en.wikipedia.org/wiki/Botswana,multi_passage,How are Botswana's physical geography and mining economy characterised in the article?,"Approximately 70% of Botswana's territory is part of the Kalahari Desert, while the economy is dominated by tourism and mining and Botswana produces more diamonds than any other country.","Botswana is topographically flat, with approximately 70% of its territory being a part of the Kalahari Desert.",It is dominated by tourism and mining; Botswana produces more diamonds than any other country.,verified
30,9,Angola,https://en.wikipedia.org/wiki/Angola,multi_passage,How are Angola's independence and its main economic resources described in the article?,"Angola achieved independence in 1975 after a protracted anti-colonial struggle and then descended into civil war the same year. Since independence, oil and diamonds have been the country's most important economic resources.","After a protracted anti-colonial struggle (1961–1974), Angola achieved independence in 1975 as a one-party Republic, but the country descended into a devastating civil war the same year, between the ruling People's Movement for the Liberation of Angola (MPLA), 0:000:00 / 0:00/ 0:00 Capital and largest city Luanda 8°50′S 13°20′E Official languages Portuguese National languages Chokwe, Kimbundu, Kikongo, Oshiwambo, Luchazi, Umbundu Ethnic groups (2024)[1] 29% Ovimbundu 27% Ambundu 14% Bakongo 30% others Religion (2024)[2] 11.5% no religion 9.4% other Demonym Angolan Government Unitary presidential republic • President João Lourenço • Vice President Esperança da Costa[3] • President of the National Assembly Adão Correia de Almeida • Chief Justice Norberto Sodré João Legislature National Assembly Independence from Portugal • Granted 11 November 1975 • United Nations full membership 22 November 1976 • Current constitution 21 January 2010 Area • Total 1,246,700 km2 (481,400 sq mi) backed by the Soviet Union and Cuba; the insurgent National Union for the Total Independence of Angola, an originally Maoist and later anti-communist group supported by the United States and South Africa; the militant organisation National Liberation Front of Angola, backed by Zaire; and the Front for the Liberation of the Enclave of Cabinda seeking the independence of the Cabinda exclave, also backed by Zaire.","Since independence, oil and diamonds have been the most important economic resources.",verified
