question_id,document_id,title,source_url,question_type,question,reference_answer,supporting_text_1,supporting_text_2,verification_status
1,0,Mozambique,https://en.wikipedia.org/wiki/Mozambique,single_passage,What is the capital and largest city of Mozambique?,Maputo,The capital and largest city is Maputo.,,verified
2,0,Mozambique,https://en.wikipedia.org/wiki/Mozambique,single_passage,What is the most popular sport in Mozambique?,Football (Portuguese: futebol),Football (Portuguese: futebol) is the most popular sport in Mozambique.,,verified
3,1,Tanzania,https://en.wikipedia.org/wiki/Tanzania,single_passage,What are the two regions whose union formed the United Republic of Tanzania in 1964?,Tanganyika and Zanzibar,"Elizabeth II, who had acceded to the British throne in 1952, continued to reign through the first year of Tanganyika's independence, but now distinctly as Queen of Tanganyika, represented by the governor general.[62]: 6 Tanganyika also joined the British Commonwealth in 1961.[18] On 9 December 1962, Tanganyika became a democratic republic under an executive president.[62]: 6 After the Zanzibar Revolution overthrew the Arab dynasty in neighbouring Zanzibar, accompanied with the slaughter of thousands of Arab Zanzibaris,[63] which had become independent in 1963, the archipelago merged with mainland Tanganyika on 26 April 1964.[64] The new country was then named the United Republic of Tanganyika and Zanzibar.[65][66] On 29 October of the same year, the country was renamed the United Republic of Tanzania (""Tan"" comes from Tanganyika and ""Zan"" from Zanzibar).[17] The union of the two hitherto separate regions was controversial among many Zanzibaris (even those sympathetic to the revolution) but was accepted by both the Nyerere government and the Revolutionary Government of Zanzibar owing to shared political values and goals.[67] Following Tanganyika's independence and unification with Zanzibar leading to the state of Tanzania, President Nyerere emphasised a need to construct a national identity for the citizens of the new country.",,verified
4,1,Tanzania,https://en.wikipedia.org/wiki/Tanzania,single_passage,What is Tanzania's national animal?,The Masai giraffe,"Tanzania is home to about 130 amphibian and over 275 reptile species, many of them strictly Climate Wildlife and conservation The Masai giraffe is Tanzania's national animal.",,verified
5,2,South Africa,https://en.wikipedia.org/wiki/South_Africa,single_passage,What are the three capitals of South Africa and their respective roles?,"Pretoria is the administrative capital, Cape Town is the legislative capital, and Bloemfontein is the judicial capital.","ion saw a shift towards industrialisation and urbanisation. Following the Second Boer War, the Union of South Africa was created in 1910 after the amalgamation of the Cape, Natal, Transvaal, and Orange River colonies, 0:000:00 / 0:00/ 0:00 Capital Pretoria (executive)[a][3] Cape Town (legislative)[b][3] Bloemfontein (judicial)[c][3] Largest city Johannesburg[4] Official languages 12 languages[5][6] Afrikaans English Ndebele Sepedi Sesotho Setswana South African Sign Language Swazi Tshivenda ",,verified
6,2,South Africa,https://en.wikipedia.org/wiki/South_Africa,single_passage,How many provinces does South Africa have?,Nine provinces,"ms Motto: ""ǃke e꞉ ǀxarra ǁke"" (ǀXam) ""Unity in diversity"" Anthem: ""National Anthem of South Africa"" South Africa South Africa, officially the Republic of South Africa (RSA), is the southernmost country in Africa.[d] The country consists of nine provinces, and is bounded to the south by 2,798 kilometres (1,739 miles) of coastline that stretches along the South Atlantic and Indian Ocean;[16][17][18] to the north by the neighbouring countries of Namibia, Botswana, and Zimbabwe; and to the eas",,verified
7,3,Eswatini,https://en.wikipedia.org/wiki/Eswatini,single_passage,When did Eswatini regain full independence?,6 September 1968,"Its boundaries were drawn up in 1881 in the midst of the European Scramble for Africa.[16] After the Second Boer War, the kingdom, under the name of Swaziland, was a British high commission territory from 1903 until it regained its full independence on 6 September 1968.[17] In April 2018, the king changed the official name from Kingdom of Swaziland to Kingdom of Eswatini, the name commonly used in the Swazi language.[14][18][19] Eswatini is a developing country that is classified as having a lower-middle income economy.",,verified
8,3,Eswatini,https://en.wikipedia.org/wiki/Eswatini,single_passage,What are Eswatini's two official languages?,Swazi and English,"ency, the lilangeni, is pegged to the South African rand. Eswatini's major overseas trading partners are the United States[20] and 0:000:00 / 0:00/ 0:00 Capital Mbabane (executive) Lobamba (legislative) 26°30′S 31°30′E Largest city Mbabane Official languages Swazi · English Ethnic groups (2017) 97% Emaswati 3% others Religion (2017) 7.4% no religion 2.5% traditional faiths 0.8% others[1][2] Demonym Swazi[a] Government Unitary diarchic[3] absolute monarchy the European Union.[21] The majority of the ",,verified
9,4,Lesotho,https://en.wikipedia.org/wiki/Lesotho,single_passage,What is the capital and largest city of Lesotho?,Maseru,"o Naha ea Lesotho (Sotho) Flag Coat of arms Motto: ""Khotso, Pula, Nala"" ""Peace, Rain, Prosperity"" Anthem: Lesotho fatše la bo-ntat'a rona (English: ""Lesotho, Land of Our Fathers"") Capital and largest city Maseru 29°18′54″S 27°29′13″E Official languages Sesotho · English Ethnic groups (2020) 99.7% Basotho 0.3% others Religion (2020)[1] 92.1% Christianity 6.6% traditional faiths 1.0% no rel",,verified
10,4,Lesotho,https://en.wikipedia.org/wiki/Lesotho,single_passage,What is Lesotho's official currency?,"The loti (plural: maloti), which can be used interchangeably with the South African rand.","A reduction in worker remittances due to the ""weakening"" of the South African economy, contraction of the mining sector, and related job losses in South Africa contributed to Lesotho's GDP growth slowing to 0.9% in 2009.[65] Lesotho was ranked 132nd in the Global Innovation Index in 2025.[77][78] The official currency is the loti (plural: maloti) which can be used interchangeably with the South African rand.",,verified
11,5,Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,single_passage,What is the capital and largest city of Zimbabwe?,Harare,"The capital and largest city is Harare, and the second largest is Bulawayo.",,verified
12,5,Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,single_passage,How many official languages does Zimbabwe have?,16,"a selfgoverning British colony. In 1965, the white minority government unilaterally declared independence as Rhodesia. The state endured international isolation 0:000:00 / 0:00/ 0:00 Capital and largest city Harare[a] 17°49′45″S 31°03′08″E Official languages 16 languages:[4] Chewa · Chibarwe · English · Kalanga · Khoisan · Nambya · Ndau · Ndebele · Shangani · Shona · Sotho · Tonga · Tswana · Venda · Xhosa · Zimbabwean sign language Ethnic groups (2022 census)[5] 99.6% Black African[b] 0.2% Europe",,verified
13,6,Malawi,https://en.wikipedia.org/wiki/Malawi,single_passage,What is the capital and largest city of Malawi?,Lilongwe,"Malawi spans over 118,484 km2 (45,747 sq mi) and has a population of 22,224,282 (as of July 2025).[10] Lilongwe is its capital and largest city.",,verified
14,6,Malawi,https://en.wikipedia.org/wiki/Malawi,single_passage,In what year did Malawi become independent and what was the territory called immediately before independence?,1964; it was called Nyasaland.,"In 1964, Nyasaland became independent under Prime Minister Hastings Banda and was renamed Malawi.",,verified
15,7,Kenya,https://en.wikipedia.org/wiki/Kenya,single_passage,What is the capital and largest city of Kenya?,Nairobi,Kenya's capital and largest city is Nairobi.,,verified
16,7,Kenya,https://en.wikipedia.org/wiki/Kenya,single_passage,What does the Kenya Certificate of Secondary Education (KCSE) determine for students who take it?,"It determines who proceeds to universities, other professional training, or employment.","For those who proceed to the secondary level, there is a national examination at the end of Form Four – the Kenya Certificate of Secondary Education (KCSE), which determines those proceeding to the universities, other professional training, or employment.",,verified
17,8,Botswana,https://en.wikipedia.org/wiki/Botswana,single_passage,What is the capital and largest city of Botswana?,Gaborone,"Gaborone, in the South-East District, is the country's capital and largest city.",,verified
