question_id,document_id,title,question_type,question,verification_status,verification_note
1,0,Mozambique,single_passage,What is the capital and largest city of Mozambique?,verified,Reference answer and supporting passage were checked against the source document.
2,0,Mozambique,single_passage,What is the most popular sport in Mozambique?,verified,Reference answer and supporting passage were checked against the source document.
3,1,Tanzania,single_passage,What are the two regions whose union formed the United Republic of Tanzania in 1964?,verified,Reference answer and supporting passage were checked against the source document.
4,1,Tanzania,single_passage,What is Tanzania's national animal?,verified,Reference answer and supporting passage were checked against the source document.
5,2,South Africa,single_passage,What are the three capitals of South Africa and their respective roles?,verified,Reference answer and supporting passage were checked against the source document.
6,2,South Africa,single_passage,How many provinces does South Africa have?,verified,Reference answer and supporting passage were checked against the source document.
7,3,Eswatini,single_passage,When did Eswatini regain full independence?,verified,Reference answer and supporting passage were checked against the source document.
8,3,Eswatini,single_passage,What are Eswatini's two official languages?,verified,Reference answer and supporting passage were checked against the source document.
9,4,Lesotho,single_passage,What is the capital and largest city of Lesotho?,verified,Reference answer and supporting passage were checked against the source document.
10,4,Lesotho,single_passage,What is Lesotho's official currency?,verified,Reference answer and supporting passage were checked against the source document.
11,5,Zimbabwe,single_passage,What is the capital and largest city of Zimbabwe?,verified,Reference answer and supporting passage were checked against the source document.
12,5,Zimbabwe,single_passage,How many official languages does Zimbabwe have?,verified,Reference answer and supporting passage were checked against the source document.
13,6,Malawi,single_passage,What is the capital and largest city of Malawi?,verified,Reference answer and supporting passage were checked against the source document.
14,6,Malawi,single_passage,In what year did Malawi become independent and what was the territory called immediately before independence?,verified,Reference answer and supporting passage were checked against the source document.
15,7,Kenya,single_passage,What is the capital and largest city of Kenya?,verified,Reference answer and supporting passage were checked against the source document.
16,7,Kenya,single_passage,What does the Kenya Certificate of Secondary Education (KCSE) determine for students who take it?,verified,Reference answer and supporting passage were checked against the source document.
17,8,Botswana,single_passage,What is the capital and largest city of Botswana?,verified,Reference answer and supporting passage were checked against the source document.
18,8,Botswana,single_passage,Approximately what percentage of Botswana's territory is part of the Kalahari Desert?,verified,Reference answer and supporting passage were checked against the source document.
19,9,Angola,single_passage,What is the capital and most populous city of Angola?,verified,Reference answer and supporting passage were checked against the source document.
20,9,Angola,single_passage,What is Angola's official language?,verified,Reference answer and supporting passage were checked against the source document.
21,0,Mozambique,multi_passage,How did Portuguese arrival and the post-independence civil war shape Mozambique's modern history?,verified,Both supporting passages were checked against the source document.
22,1,Tanzania,multi_passage,"How did Tanganyika and Zanzibar become Tanzania, and what does the article say about Tanzania's linguistic diversity?",verified,Both supporting passages were checked against the source document.
23,2,South Africa,multi_passage,How did apartheid and the 1994 elections affect political representation in South Africa?,verified,Both supporting passages were checked against the source document.
24,3,Eswatini,multi_passage,What does the article say about Eswatini's political system and the sectors providing most employment?,verified,Both supporting passages were checked against the source document.
25,4,Lesotho,multi_passage,How are Lesotho's high elevation and rainfall pattern described in the article?,verified,Both supporting passages were checked against the source document.
26,5,Zimbabwe,multi_passage,How does the article connect Great Zimbabwe's early history with the later establishment of Rhodesia?,verified,Both supporting passages were checked against the source document.
